,Unnamed: 0,films,status,tagline,pg_val,original_language,production_companies,spoken_languages
20119,20119,Pathrosinte Padappukal,Released,Pathrosinte Padappukal,False,ml,Marikar Entertainments,Malayalam
20120,20120,Night Caller,Released,Night Caller,False,en,"Crappy World Films, Girls and Corpses",English
20121,20121,Returns,Released,Returns,False,zh,"南昌市红土绿风文化发展有限公司, 杭州明朗影视制作有限公司",
20122,20122,Marte Dam Tak,Released,Marte Dam Tak,F,hi,Prathima Films,Hindi
20123,20123,The Scrapper,Released,You can't escape your past.,F,en,Lucky Movies,English
20124,20124,Salaakhen,Released,Salaakhen,False,hi,,Hindi
20125,20125,Escape from Area 51,Released,Escape from Area 51,F,en,"Girls and Corpses, Cleopatra Entertainment",English
20126,20126,Pitaah,Released,Pitaah,False,hi,,Hindi
20127,20127,HOUSE,Released,HOUSE,False,de,,German
20128,20128,Shark Huntress,Released,She wants revenge... It wants blood.,F,en,,English
20129,20129,Varayan,Released,Terror behind the smile,False,ml,,Malayalam
20130,20130,A Murder of Innocence,Released,A Murder of Innocence,False,en,,English
20131,20131,Deadly Seduction,Released,Deadly Seduction,False,en,K5ive Media,English
20132,20132,Monsters of War,Released,Monsters of War,False,en,"Jagged Edge Productions, ITN Distribution",English
20133,20133,El Coyote,Released,Italian Mafia vs Mexican Cartel,False,en,,
20134,20134,Kadaseela Biriyani,Released,Kadaseela Biriyani,F,ta,YNOTX,"English, Malayalam, Tamil"
20135,20135,The Huns,Released,The story of one revenge.,F,ru,,Russian
20136,20136,29 Needles,Released,29 Needles,False,en,"Arsenic Media, Unearthed Films",English
20137,20137,Aaj Ka Arjun,Released,Aaj Ka Arjun,F,hi,B.M.B. Pictures,Hindi
20138,20138,90 Feet from Home,Released,90 Feet from Home,F,en,,English
20139,20139,Draupathi,Released,Draupathi,F,ta,GM Film Corporation,Tamil
20140,20140,Kakababur Protyaborton,Released,Kakababur Protyaborton,False,bn,SVF Entertainment,Bengali
20141,20141,Zombie Crush in Heyri,Released,Zombie Crush in Heyri,F,ko,,Korean
20142,20142,Kedibone,Released,Kedibone,False,st,"Shotgun Shack Pictures, Smatsatsa Communication",Sotho
20143,20143,Thirimali,Released,Thirimali,False,ml,,Malayalam
20144,20144,Floodlights,Released,Floodlights,F,en,"Expectation Entertainment, BBC",English
20145,20145,Bombhaat,Released,Bombhaat,F,te,Sucheta Dreamworks Productions,Telugu
20146,20146,Anka,Released,Anka,False,tr,MGX Film,Turkish
20147,20147,Alienated,Released,Alienated,F,en,Zia Films,English
20148,20148,Dracula Sir,Released,Dracula Sir,False,bn,"SVF Entertainment, Maansi Entertainment Studio",Bengali
20149,20149,County Line: All In,Released,County Line: All In,False,en,,
20150,20150,Righteous Villains,Released,"Before the Apocalypse, there will be war.",False,en,,English
20151,20151,Forever Golden! A Celebration of the Golden Girls,Released,Forever Golden! A Celebration of the Golden Girls,False,en,,
20152,20152,Polaris,Released,Survival is the most dangerous adventure.,F,xx,"Little Dipper Films, Les Productions Megafun, Alyson Richards Productions",No Language
20153,20153,Death Cast,Released,LIGHTS . CAMERA . MURDER,F,en,,English
20154,20154,Dear Best Friend,Released,Dear Best Friend,F,en,,
20155,20155,Full dekning,Released,Everything’s on the table,F,no,Storm Films,Norwegian
20156,20156,Darling Nikki,Released,Darling Nikki,F,en,"CineRidge Entertainment, Photomundo International, Brooklyn Reptyle Films, Cinema Epoch, Rain in Vienna Films",English
20157,20157,Mission Extreme,Released,A WAR AGAINST INVISIBLE ENEMY !!,False,bn,"Cop Creation, Mime Multimedia","Bengali, English"
20158,20158,The Road Ahead,Released,The Road Ahead,False,en,North Film Co.,"German, English"
20159,20159,Migration,Released,Migration,False,hi,Mirabai Films,"Hindi, English"
20160,20160,Wargames,Released,Wargames,F,en,,No Language
20161,20161,Flying Cars,Released,Flying Cars,False,en,,English
20162,20162,The Seven Faces of Jane,Released,The Seven Faces of Jane,False,en,Superconductor,
20163,20163,ANA,Released,ANA,False,es,,Spanish
20164,20164,Sher Shivraj,Released,Sher Shivraj,False,mr,Mumbai Movie Studios,Marathi
20165,20165,Kamli,Released,Kamli,F,ur,Khoosat Films,"English, Urdu"
20166,20166,Last of the Grads,Released,Welcome to your last day.,F,en,Keyway Pictures,English
20167,20167,Hostile Intentions,Released,A night of adventure becomes one woman's desperate fight for survival.,False,en,Libra Pictures,"English, Spanish"
20168,20168,Euphoryaa,Released,"A courageous, contemporary story about love, relationships and vaccines.",False,en,,English
20169,20169,Nastik,Released,Nastik,F,hi,Shemaroo Entertainment,Hindi
20170,20170,The Doll 3,Released,The Doll 3,False,id,Hitmaker Studios,Indonesian
20171,20171,hAPPiness,Released,Happiness. It's only a click away.,False,en,Download Joy Productions,
20172,20172,The Xrossing,Released,The Xrossing,False,en,,
20173,20173,Lost Treasure of Jesse James,Released,The Chase Begins,False,en,"Boster Castle, Fairway Film Alliance","English, Polish"
20174,20174,B-Boy Blues,Released,An unforgettable love story.,False,en,"SuperMassive Movies, Story Worthy Pictures, Winnienoah Productions",English
20175,20175,Muzzle,Released,Vengeance unleashed.,F,en,"Highland Film Group, Broken Open Pictures, Slow Burn, Studio507",English
20176,20176,Ashoka Vanamlo Arjuna Kalyanam,Released,Ashoka Vanamlo Arjuna Kalyanam,F,te,"Sri Venkateswara Cine Chitra, SVCC Digital",Telugu
20177,20177,Hollywood.Con,Released,Because they could... And so they did!,F,en,,"English, Spanish"
20178,20178,The Misadventures of Mistress Maneater,Released,The Misadventures of Mistress Maneater,False,en,Binary Star Pictures,English
20179,20179,Killer Rivalry,Released,Point. Score. Murder.,F,en,"MarVista Entertainment, Andrew Stevens Entertainment",English
20180,20180,Trip,Released,Give me your eyes,F,en,,English
20181,20181,Kaadan,Released,Kaadan,F,ta,"Eros International, Trinity Pictures","Hindi, Tamil, Telugu"
20182,20182,The Eken,Released,The Eken,F,bn,SVF Entertainment,"Bengali, English, Hindi, Nepali"
20183,20183,The Perfect Race,Released,Sometimes in order to win...you have to be willing to lose.,False,en,Five & Two Pictures,
20184,20184,Mere Desh Ki Dharti,Released,The country is changing...,F,hi,Carnival Motion Pictures,Hindi
20185,20185,Popcorn Monkey Tiger,Released,Popcorn Monkey Tiger,F,kn,Studio 18,Kannada
20186,20186,3 of a Kind,Released,3 of a Kind,F,en,,
20187,20187,House at the End of the Drive,Released,It's where they died.,F,en,Allure Entertainment,English
20188,20188,El coyote,Released,El coyote,False,es,,Spanish
20189,20189,Bloodhound,Released,Bloodhound,False,en,,English
20190,20190,En plein coeur,Released,En plein coeur,False,fr,,French
20191,20191,The Bezonians,Released,A new class of gangster.,False,en,Saints and Savages,"English, Greek, German, Russian"
20192,20192,Velle,Released,Velle,False,hi,"Ajay Devgn FFilms, Intercut Entertainment Pvt Ltd",Hindi
20193,20193,Duke,Released,Duke,False,en,D. Ellen Miller Productions,English
20194,20194,Grey Eyes,Released,Grey Eyes,False,es,Fundación Dodecá,Spanish
20195,20195,Pasivadi Pranam,Released,Pasivadi Pranam,False,te,,Telugu
20196,20196,Agent Jade Black,Released,Agent Jade Black,False,en,,English
20197,20197,Broken Swords: The Last in Line,Released,The Last In Line,F,en,,English
20198,20198,Drums of Africa,Released,Terror Strikes In The Jungle!,F,en,Metro-Goldwyn-Mayer,English
20199,20199,The Kung Fu Master,Released,A Tale of Vengeance,False,ml,FullOn Studio Frames,"English, Hindi, Malayalam"
20200,20200,We Might As Well Be Dead,Released,We Might As Well Be Dead,False,de,Heartwake Films,"German, Polish"
20201,20201,Prakashan Parakkatte,Released,Prakashan Parakkatte,F,ml,Funtastic Films,Malayalam
20202,20202,La Flamme Rouge,Released,La Flamme Rouge,F,en,,English
20203,20203,The Rideshare Killer,Released,The Rideshare Killer,F,en,,English
20204,20204,Garden of Hedon,Released,"When the Pleasure stops, the Killing begins",False,en,Kangas Kahn Films,English
20205,20205,Amityville Uprising,Released,To serve. To protect. And to fight the undead.,False,en,"Action House, Church Hill Productions, Lions Gate Entertainment, Lux Angeles Studios",English
20206,20206,Gefangen,Released,Gefangen,F,de,"unafilm, WDR",German
20207,20207,Bring Him Back Dead,Released,The hunt is on.,F,en,,English
20208,20208,Rising Shaolin: The Protector,Released,Rising Shaolin: The Protector,F,zh,,Mandarin
20209,20209,Cabal,Released,Cabal,False,en,,
20210,20210,Omo Ghetto: The Saga,Released,Omo Ghetto: The Saga,F,en,,English
20211,20211,Iké Boys,Released,Iké Boys,F,en,,English
20212,20212,Dangerous Waters,Released,Dangerous Waters,F,en,"InterProd Inc., Saban Entertainment",English
20213,20213,Aviva,Released,Aviva,False,en,,English
20214,20214,El vagón de la muerte,Released,El vagón de la muerte,F,es,Producciones Eco Films,Spanish
20215,20215,The Inventor,Released,The Inventor,F,hu,Pannonia Entertainment Ltd.,Hungarian
