,Name,ID,Gender,Age,Genres,Popularity,Followers
132,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,male,0,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",86,19801456
133,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,mixed,6,"['edm', 'pop', 'pop dance']",64,2189857
134,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,male,47,"['dance pop', 'pop']",76,4346437
135,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,female,26,['pop'],77,6310299
136,DJ Luian,64aJYyrXljOodnUG6jvhRD,male,30,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",75,2151143
137,Jess Glynne,4ScCswdRlyA23odg9thgIO,female,30,"['dance pop', 'pop', 'uk pop']",70,3052402
138,Sean Paul,3Isy6kedDrgPYoTS1dazA9,male,47,"['dance pop', 'dancehall', 'pop', 'pop rap']",78,4582173
139,Kyla,77DAFfvm3O9zT5dIoG0eIO,female,39,['uk funky'],67,16175
140,Camilo,28gNT5KBp7IjEOQoevXf9N,male,26,"['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']",76,18536121
141,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,female,26,['pop'],72,5113480
142,Seeb,5iNrZmtVMtYev5M9yoWpEq,mixed,5,['pop dance'],65,359210
143,Adele,4dpARuHxo51G3z768sgnrY,female,32,"['british soul', 'pop', 'pop soul', 'uk pop']",83,53224523
144,Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,mixed,9,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",77,19424584
145,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,mixed,10,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",71,5445623
146,BTS,3Nrfpe0tUJi4K4DXYWgMUX,mixed,7,"['k-pop', 'k-pop boy group', 'pop']",85,71697648
147,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,mixed,16,"['piano rock', 'pop']",80,16641267
