,names,Run Time,imdb_score,val,Writer,film
145,The Old Guard,"$70,000,000 (estimated)",6.6,159K,Greg Rucka,Barrage: The World On Stage
146,The Lord of the Rings: The Return of the King,"$94,000,000 (estimated)",9,1.8M,J.R.R. Tolkien,Também Somos Irmãos
147,Pirates of the Caribbean: At World's End,"$300,000,000 (estimated)",7.1,640K,Ted Elliott,Chiemgauer Volkstheater - Voll guat drauf
148,Black Panther,2 hours 14 minutes,7.3,728K,Ryan Coogler,Gold Star Tribute: A National Salute to America's Heroes
149,Edge of Tomorrow,"$178,000,000 (estimated)",7.9,661K,Christopher McQuarrie,Premonition
150,Dunkirk,"$100,000,000 (estimated)",7.8,637K,Christopher Nolan,Angels of Perdition
151,The Marvels,not-released,no-rating,0,Gene Colan,Is Anybody Listening?
152,Baywatch,1 hour 56 minutes,5.5,183K,Michael Berk,Die Entscheider
153,Waterworld,"$175,000,000 (estimated)",6.2,195K,Peter Rader,The Cross: The Arthur Blessitt Story
154,John Wick,"$20,000,000 (estimated)",7.4,610K,David Leitch,Whispers
155,Twister,"$92,000,000 (estimated)",6.4,194K,Michael Crichton,It's Alive
156,Black Hawk Down,"$92,000,000 (estimated)",7.7,391K,Mark Bowden,She Lays Down
157,Deadpool 2,"$110,000,000 (estimated)",7.7,559K,Rhett Reese,Alte Sünden rosten nicht
158,Thor,"$150,000,000 (estimated)",7,823K,Ashley Miller,The Fist of Mormon
159,Skyfall,"$200,000,000 (estimated)",7.8,688K,Neal Purvis,Too Tough to Care
160,Iron Man,"$140,000,000 (estimated)",7.9,1M,Mark Fergus,Pohádkový zákon
161,Oldboy,"$3,000,000 (estimated)",8.4,565K,Garon Tsuchiya,Minimum Wage
162,Oldboy,"$30,000,000 (estimated)",5.7,76K,Garon Tsuchiya,Clown Porn: The Parody
163,The Man from Toronto,1 hour 50 minutes,5.8,2.4K,Robbie Fox,Whore It Up
164,Black Panther: Wakanda Forever,not-released,no-rating,0,Joe Robert Cole,Parent Official Compensated Dating Hikaru Creampie Sex Secretly To Mother
165,The Informer,1 hour 53 minutes,6.6,35K,Matt Cook,Ontologia da Corda Preta
166,Sicario,"$30,000,000 (estimated)",7.6,419K,Taylor Sheridan,Sweet Angel
167,Solo: A Star Wars Story,"$275,000,000 (estimated)",6.9,335K,Jonathan Kasdan,Lee Pa-Ni's Secret Voyeur Club
168,Batman Forever,"$100,000,000 (estimated)",5.4,251K,Bob Kane,Minitrip
169,Jumanji: The Next Level,2 hours 3 minutes,6.7,241K,Jake Kasdan,Personality Test
170,The Avengers,"$220,000,000 (estimated)",8,1.4M,Joss Whedon,This Is My Show
171,The Terminator,"$6,400,000 (estimated)",8.1,846K,James Cameron,The Quest for the Magic Bands
172,John Wick: Chapter 4,not-released,no-rating,0,Michael Finch,Pistol Whipped
173,Strange World,not-released,no-rating,0,Qui Nguyen,Space Elves: Toil
174,Fury,"$68,000,000 (estimated)",7.5,476K,David Ayer,Lucia di Lammermoor
175,Ford v Ferrari,"$97,600,000 (estimated)",8.1,372K,Jez Butterworth,Jack's Teen America: Mission 14
176,Spider-Man 3,"$258,000,000 (estimated)",6.2,577K,Sam Raimi,exesses01
177,The Tomorrow War,"$200,000,000 (estimated)",6.5,198K,Zach Dean,El espejo
178,Public Enemies,"$100,000,000 (estimated)",7,300K,Ronan Bennett,Weekendfar
179,Venom,"$100,000,000 (estimated)",6.6,470K,Jeff Pinkner,"Well, Here's Another One!"
180,Brahmastra Part One: Shiva,not-released,no-rating,0,Hussain Dalal,Brad Stine: Put a Helmet on...2017
181,War of the Worlds,"$132,000,000 (estimated)",6.5,443K,Josh Friedman,Mr. Bond
182,War of the Worlds,not-released,no-rating,0,Rich Lee,Girls and Their Boys 51
183,Fantastic Four,"$120,000,000 (estimated)",4.3,165K,Stephen E. Rivkin,Being Normal
184,Captain America: The First Avenger,"$140,000,000 (estimated)",6.9,824K,Christopher Markus,Diário da Pandemia
185,Terminator 2: Judgment Day,"$102,000,000 (estimated)",8.6,1.1M,James Cameron,Nerd Girls 2
186,Tropic Thunder,"$92,000,000 (estimated)",7,408K,Justin Theroux,Hero
187,Star Trek,"$150,000,000 (estimated)",7.9,599K,Roberto Orci,Teen Love Sex Addicts
188,The Revenant,"$135,000,000 (estimated)",8,783K,Mark L. Smith,Damned in Venice
189,Godzilla vs. Kong,"$200,000,000 (estimated)",6.3,200K,Terry Rossio,Atsuhime No.1
190,Guardians of the Galaxy Vol. 3,not-released,no-rating,0,James Gunn,The Ham What Am
191,Dune: Part Two,not-released,no-rating,0,Frank Herbert,The Death of God
192,Collateral,"$65,000,000 (estimated)",7.5,393K,Stuart Beattie,Ingewikkeld
193,The 355,"$75,000,000 (estimated)",5.4,24K,Theresa Rebeck,La Espera
194,Baby Driver,1 hour 53 minutes,7.6,517K,Edgar Wright,Helmut Doppel: Alfa / Rectum
195,Only the Brave,2 hours 14 minutes,7.6,68K,Sean Flynn,Evolution
196,"10,000 BC","$105,000,000 (estimated)",5.1,131K,Roland Emmerich,Opus Cope: An Algorithmic Opera
197,6 Underground,"$150,000,000 (estimated)",6.1,171K,Paul Wernick,Смежные комнаты
198,Paws of Fury: The Legend of Hank,not-released,no-rating,0,Rob Minkoff,Loving Mona
199,The Amazing Spider-Man 2,"$200,000,000 (estimated)",6.6,487K,Alex Kurtzman,National Lampoon Presents Dorm Daze
200,Jungle Cruise,"$200,000,000 (estimated)",6.6,180K,Michael Green,Three Kisses
201,Infinite,not-released,5.4,47K,Ian Shorr,Jo
202,The Fast and the Furious,"$38,000,000 (estimated)",6.8,380K,Ken Li,Mickey - Les JO rigolos
203,Guardians of the Galaxy Vol. 2,2 hours 16 minutes,7.6,656K,James Gunn,Salers
204,Fast X,not-released,no-rating,0,Justin Lin,Gamma Ray: The Story Of... To The Metal
205,Justice League,"$300,000,000 (estimated)",6.1,444K,Jerry Siegel,The Melancholy Man
206,Batman,"$35,000,000 (estimated)",7.5,372K,Bob Kane,Beyond LIVE -TWICE 4TH WORLD TOUR ‘Ⅲ’ : SEOUL
207,Batman,"$1,377,800 (estimated)",6.5,33K,Lorenzo Semple Jr.,Night Drives - Campfire in the Sky
